TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/07/14
TIME	12:51:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2700
LASTX	700
NPOINTS	2001
FIRSTY	1.51001
MAXY	10
MINY	1.09793
XYDATA
2700	1.51001
2699	1.38239
2698	1.63908
2697	1.32494
2696	1.6201
2695	1.58159
2694	10
2693	1.34188
2692	1.28493
2691	1.2748
2690	1.35682
2689	1.493
2688	1.50682
2687	1.46659
2686	1.52445
2685	1.47127
2684	1.53104
2683	1.49526
2682	1.45459
2681	1.59759
2680	1.59627
2679	1.52371
2678	1.43947
2677	1.51185
2676	1.4781
2675	1.58702
2674	1.63277
2673	1.57888
2672	1.51912
2671	1.48177
2670	1.4995
2669	1.44688
2668	1.50325
2667	1.63504
2666	1.48243
2665	1.4302
2664	1.47639
2663	1.39755
2662	1.46885
2661	1.54065
2660	1.58778
2659	1.49646
2658	1.51697
2657	1.52101
2656	1.52204
2655	1.55974
2654	1.53654
2653	1.58038
2652	1.51892
2651	1.49606
2650	1.53968
2649	1.52189
2648	1.53598
2647	1.54196
2646	1.54884
2645	1.56979
2644	1.5491
2643	1.53459
2642	1.51272
2641	1.52327
2640	1.5309
2639	1.53285
2638	1.541
2637	1.52797
2636	1.52421
2635	1.53331
2634	1.52876
2633	1.54154
2632	1.55085
2631	1.55736
2630	1.50699
2629	1.47863
2628	1.4785
2627	1.49811
2626	1.52873
2625	1.51468
2624	1.50541
2623	1.53279
2622	1.51646
2621	1.50288
2620	1.53828
2619	1.53092
2618	1.57917
2617	1.50079
2616	1.46211
2615	1.51547
2614	1.50396
2613	1.51486
2612	1.5169
2611	1.51681
2610	1.54411
2609	1.51948
2608	1.53161
2607	1.51358
2606	1.52374
2605	1.614
2604	1.49397
2603	1.4652
2602	1.48218
2601	1.55906
2600	1.51661
2599	1.52276
2598	1.54312
2597	1.53688
2596	1.52042
2595	1.48593
2594	1.50697
2593	1.51606
2592	1.50526
2591	1.50304
2590	1.54696
2589	1.5351
2588	1.53854
2587	1.51853
2586	1.53212
2585	1.51675
2584	1.57032
2583	1.54035
2582	1.50663
2581	1.45818
2580	1.515
2579	1.51874
2578	1.55251
2577	1.53583
2576	1.51268
2575	1.51705
2574	1.51532
2573	1.50178
2572	1.54047
2571	1.53214
2570	1.52439
2569	1.50933
2568	1.49731
2567	1.50092
2566	1.51909
2565	1.5265
2564	1.52768
2563	1.56248
2562	1.52238
2561	1.47996
2560	1.48876
2559	1.46968
2558	1.50612
2557	1.50149
2556	1.52727
2555	1.51829
2554	1.53637
2553	1.50164
2552	1.5171
2551	1.51555
2550	1.53978
2549	1.52119
2548	1.49685
2547	1.51823
2546	1.49983
2545	1.50115
2544	1.50061
2543	1.52521
2542	1.51775
2541	1.51873
2540	1.50716
2539	1.51562
2538	1.50642
2537	1.51657
2536	1.51703
2535	1.5236
2534	1.49177
2533	1.51152
2532	1.52419
2531	1.52961
2530	1.53678
2529	1.50283
2528	1.52722
2527	1.52137
2526	1.50418
2525	1.4919
2524	1.51511
2523	1.51895
2522	1.52082
2521	1.51797
2520	1.50015
2519	1.50914
2518	1.51184
2517	1.51674
2516	1.52779
2515	1.51324
2514	1.5227
2513	1.51563
2512	1.49638
2511	1.49938
2510	1.50871
2509	1.51691
2508	1.52443
2507	1.52673
2506	1.51433
2505	1.52249
2504	1.50413
2503	1.51421
2502	1.51121
2501	1.50291
2500	1.50538
2499	1.50269
2498	1.50428
2497	1.50623
2496	1.52232
2495	1.52224
2494	1.52893
2493	1.51435
2492	1.49561
2491	1.5085
2490	1.51437
2489	1.51236
2488	1.52808
2487	1.51271
2486	1.51803
2485	1.50014
2484	1.49854
2483	1.50765
2482	1.51449
2481	1.51256
2480	1.51577
2479	1.51104
2478	1.49902
2477	1.50004
2476	1.52084
2475	1.51606
2474	1.50808
2473	1.51054
2472	1.49053
2471	1.5037
2470	1.51726
2469	1.51541
2468	1.51073
2467	1.51309
2466	1.49571
2465	1.49769
