TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	17/08/01
TIME	12:20:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-770, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	2300
LASTX	700
NPOINTS	1601
FIRSTY	0.610248
MAXY	1.41888
MINY	-0.637621
XYDATA
2300	0.610248
2299	0.691954
2298	0.413209
2297	1.26701
2296	1.41206
2295	0.69902
2294	0.696433
2293	1.15084
2292	0.60897
2291	0.287837
2290	0.863186
2289	0.567899
2288	1.05616
2287	0.451472
2286	0.709484
2285	1.15649
2284	0.742325
2283	1.06218
2282	0.669485
2281	0.375078
2280	0.514668
2279	0.710675
2278	0.531486
2277	0.791856
2276	1.29068
2275	0.507657
2274	0.594996
2273	0.661756
2272	0.288768
2271	0.833109
2270	0.466936
2269	0.784245
2268	0.638137
2267	0.751336
2266	1.21952
2265	0.429391
2264	1.41888
2263	1.23015
2262	0.46785
2261	0.877904
2260	0.444366
2259	0.589761
2258	0.660399
2257	0.919762
2256	0.280766
2255	0.53047
2254	1.06174
2253	1.0205
2252	0.878432
2251	0.335027
2250	0.416201
2249	0.239015
2248	0.515821
2247	0.786267
2246	0.51658
2245	0.0315324
2244	0.704456
2243	0.529272
2242	0.566863
2241	0.8486
2240	0.50701
2239	0.547757
2238	0.615998
2237	1.07937
2236	0.772044
2235	0.736883
2234	1.09237
2233	0.52547
2232	0.784488
2231	0.695997
2230	0.674699
2229	0.633983
2228	0.669488
2227	0.758707
2226	0.566676
2225	0.869744
2224	0.535891
2223	0.935017
2222	0.744485
2221	0.679846
2220	0.203221
2219	0.789358
2218	0.702911
2217	0.667092
2216	0.311596
2215	0.722995
2214	0.414236
2213	0.824092
2212	0.836566
2211	1.06357
2210	0.933272
2209	0.748632
2208	0.728385
2207	0.418436
2206	0.518228
2205	1.03911
2204	0.459608
2203	0.844369
2202	0.568309
2201	1.08789
2200	0.379217
2199	0.582446
2198	0.850831
2197	0.494961
2196	1.09813
2195	0.355768
2194	0.230467
2193	0.528796
2192	0.574397
2191	0.792544
2190	0.821952
2189	0.589226
2188	0.969677
2187	0.622128
2186	0.462875
2185	0.524664
2184	1.24829
2183	0.807529
2182	1.12989
2181	0.587628
2180	0.808269
2179	1.02537
2178	0.866485
2177	0.458514
2176	0.642145
2175	0.889902
2174	0.653699
2173	0.561125
2172	0.511171
2171	0.966617
2170	0.337325
2169	0.560659
2168	0.463105
2167	0.542168
2166	0.974716
2165	0.819716
2164	0.834236
2163	0.794105
2162	0.37689
2161	1.05004
2160	0.863421
2159	0.533342
2158	0.859366
2157	0.558892
2156	0.73686
2155	0.653429
2154	0.315286
2153	0.899275
2152	0.775653
2151	0.684024
2150	0.971268
2149	0.442816
2148	0.706989
2147	0.16848
2146	0.627974
2145	0.658019
2144	1.22042
2143	0.250958
2142	0.916258
2141	0.930196
2140	0.852662
2139	0.734658
2138	0.637155
2137	0.41011
2136	0.591903
2135	0.335095
2134	0.935144
2133	0.704618
2132	1.16139
2131	0.813456
2130	0.764105
2129	0.885985
2128	0.602956
2127	0.760627
2126	0.627485
2125	0.689585
2124	0.262279
2123	0.572984
2122	0.869969
2121	0.75659
2120	1.22383
2119	0.551689
2118	0.572961
2117	0.612096
2116	0.630012
2115	0.388499
2114	0.778585
2113	0.688669
2112	0.781809
2111	0.236869
2110	0.654577
2109	0.574642
2108	0.675572
2107	0.520196
2106	0.714304
2105	0.857427
2104	0.942807
2103	0.863298
2102	0.820927
2101	0.793869
2100	1.14438
2099	0.611537
2098	0.6823
2097	0.702683
2096	0.707422
2095	0.904258
2094	0.606152
2093	0.650205
2092	0.533644
2091	0.295393
2090	0.452223
2089	1.0733
2088	0.656238
2087	0.594041
2086	0.845947
2085	0.963713
2084	0.721771
2083	1.02596
2082	0.651526
2081	1.08026
2080	0.978711
2079	0.764577
2078	0.657479
2077	0.726455
2076	0.94465
2075	0.709849
2074	1.19112
2073	0.42723
2072	0.950837
2071	1.1144
2070	0.731575
2069	0.612439
2068	0.865168
2067	0.95916
2066	0.652947
